"","publication","publisher","date"
"464","Deeside Piper and Herald","National World Publishing Ltd",2022-11-07
"465","deesidepiper.co.uk","National World Publishing Ltd",2022-11-07
"466","Delicious Magazine","Eye to Eye Media",2022-11-07
"467","deliciousmagazine.co.uk","Eye to Eye Media",2022-11-07
"468","delish.com","The National Magazine Company Ltd/Hearst UK",2022-11-07
"469","Denbighshire Free Press","Newsquest Media Group",2022-11-07
"470","denbighshirefreepress.co.uk","Newsquest Media Group",2022-11-07
"471","Derby Telegraph","Reach PLC",2022-11-07
"472","Derbyshire Life","Newsquest Media Group",2022-11-07
"473","Derbyshire Times","National World Publishing Ltd",2022-11-07
"474","derbyshiretimes.co.uk","National World Publishing Ltd",2022-11-07
"475","derbytelegraph.co.uk","Reach PLC",2022-11-07
"476","Dereham Times","Newsquest Media Group",2022-11-07
"477","derehamtimes.co.uk","Newsquest Media Group",2022-11-07
"478","Derry Journal","National World Publishing Ltd",2022-11-07
"479","derryjournal.com","National World Publishing Ltd",2022-11-07
"480","Devon Life","Newsquest Media Group",2022-11-07
"481","devonlive.com","Reach PLC",2022-11-07
"482","Dewsbury Reporter","National World Publishing Ltd",2022-11-07
"483","dewsburyreporter.co.uk","National World Publishing Ltd",2022-11-07
"484","Digital Camera","Future PLC",2022-11-07
"485","Digital Photographer","Future PLC",2022-11-07
"486","digitalcameraworld.com","Future PLC",2022-11-07
"487","digitalspy.com","The National Magazine Company Ltd/Hearst UK",2022-11-07
"488","Dirt Bike Rider","",2022-11-07
"489","dirtbikerider.com","National World Publishing Ltd",2022-11-07
"490","Disney Frozen","Immediate Media Company Limited",2022-11-07
"491","Disney Frozen Funtime","Immediate Media Company Limited",2022-11-07
"492","Disney Princess Create & Collect","Immediate Media Company Limited",2022-11-07
"493","Disney Stars","Immediate Media Company Limited",2022-11-07
"494","Diss Express","Iliffe Media Group Ltd",2022-11-07
"495","Diss Mercury","Newsquest Media Group",2022-11-07
"496","dissexpress.co.uk","Iliffe Media Group Ltd",2022-11-07
"497","dissmercury.co.uk","Newsquest Media Group",2022-11-07
"498","dng24.co.uk","DnG Media",2022-11-07
"499","Doncaster Free Press","National World Publishing Ltd",2022-11-07
"500","Doncaster Star","National World Publishing Ltd",2022-11-07
"501","doncasterfreepress.co.uk","National World Publishing Ltd",2022-11-07
"502","Donside Piper and Herald","National World Publishing Ltd",2022-11-07
"503","donsidepiper.co.uk","National World Publishing Ltd",2022-11-07
"504","Dorchester Stars","Cedar Communications Ltd",2022-11-07
"505","dorchester.nub.news","Nub News Ltd",2022-11-07
"506","Dorking Advertiser","Reach PLC",2022-11-07
"507","Dorset Echo","Newsquest Media Group",2022-11-07
"508","Dorset Living","Newsquest Media Group",2022-11-07
"509","Dorset Magazine","Newsquest Media Group",2022-11-07
"510","dorset.live","Reach PLC",2022-11-07
"511","dorsetecho.co.uk","Newsquest Media Group",2022-11-07
"512","Dover Express","Reach PLC",2022-11-07
"513","Dudley & Stourbridge Chronicle","MNA",2022-11-07
"514","Dudley News","Newsquest Media Group",2022-11-07
"515","dudleynews.co.uk","Newsquest Media Group",2022-11-07
"516","Dumbarton & Vale of Leven Reporter","Newsquest Media Group",2022-11-07
"517","dumbartonreporter.co.uk","Newsquest Media Group",2022-11-07
"518","Dumfries & Galloway Life","Newsquest Media Group",2022-11-07
"519","Dumfries and Galloway Standard","Reach PLC",2022-11-07
"520","Dumfries Courier","DnG Media",2022-11-07
"521","dumfriesandgallowaylife.co.uk","Newsquest Media Group",2022-11-07
"522","Dundee Courier & Advertiser","DC Thomson Group",2022-11-07
"523","Dunfermline Press","Newsquest Media Group",2022-11-07
"524","dunfermlinepress.com","Newsquest Media Group",2022-11-07
"525","Dunmow Broadcast","Newsquest Media Group",2022-11-07
"526","dunmowbroadcast.co.uk","Newsquest Media Group",2022-11-07
"527","Dunoon Observer & Argyllshire Standard","Argyll Media",2022-11-07
"528","Dunstable Gazette","National World Publishing Ltd",2022-11-07
"529","dunstabletoday.co.uk","National World Publishing Ltd",2022-11-07
"530","Durham Advertiser","Newsquest Media Group",2022-11-07
"531","eadt.co.uk","Newsquest Media Group",2022-11-07
"532","Ealing Gazette","Reach PLC",2022-11-07
"533","ealing.nub.news","Nub News Ltd",2022-11-07
"534","ealingtimes.co.uk","Newsquest Media Group",2022-11-07
"535","East Anglian Daily Times","Newsquest Media Group",2022-11-07
"536","East Coast & Wolds Target","Reach PLC",2022-11-07
"537","East Fife Mail","National World Publishing Ltd",2022-11-07
"538","East Grinstead Courier","Reach PLC",2022-11-07
"539","East Grinstead Gazette","National World Publishing Ltd",2022-11-07
"540","East Kent Mercury","Iliffe Media Group Ltd",2022-11-07
"541","East Kilbride News","Reach PLC",2022-11-07
"542","East Lothian Courier","Newsquest Media Group",2022-11-07
"543","East Riding Mail","Reach PLC",2022-11-07
"544","East Suffolk Extra","Newsquest Media Group",2022-11-07
"545","Eastbourne Herald","National World Publishing Ltd",2022-11-07
"546","Eastern Daily Press","Newsquest Media Group",2022-11-07
"547","eastlondonadvertiser.co.uk","Newsquest Media Group",2022-11-07
"548","eastlothiancourier.com","Newsquest Media Group",2022-11-07
"549","Eastwood & Kimberley Advertiser","National World Publishing Ltd",2022-11-07
"550","eastwoodadvertiser.co.uk","National World Publishing Ltd",2022-11-07
"551","Easy Gardens","Future PLC",2022-11-07
"552","echo-news.co.uk","Newsquest Media Group",2022-11-07
"553","ecoJersey","Guiton Publishing",2022-11-07
"554","Edge","Future PLC",2022-11-07
"555","edie.net","Faversham House Ltd",2022-11-07
"556","Edinburgh Evening News","National World Publishing Ltd",2022-11-07
"557","edinburghlive.co.uk","Reach PLC",2022-11-07
"558","edinburghnews.scotsman.com","National World Publishing Ltd",2022-11-07
"559","edp24.co.uk","Newsquest Media Group",2022-11-07
"560","Education Business","Psi Group Ltd",2022-11-07
"561","Effervescence","Paragraph Publishing Ltd",2022-11-07
"562","Elle","The National Magazine Company Ltd/Hearst UK",2022-11-07
"563","Elle Decoration","The National Magazine Company Ltd/Hearst UK",2022-11-07
"564","Ellon Advertiser","Highland News & Media Limited",2022-11-07
"565","Ellon Times","National World Publishing Ltd",2022-11-07
"566","ellontimes.co.uk","National World Publishing Ltd",2022-11-07
"567","Ely Standard","Newsquest Media Group",2022-11-07
"568","elystandard24.co.uk","Newsquest Media Group",2022-11-07
"569","Empire","H. Bauer Publishing",2022-11-07
"570","empireonline.com","H. Bauer Publishing",2022-11-07
"571","ENDS Europe","Haymarket Media Group",2022-11-07
"572","ENDS Report","Haymarket Media Group",2022-11-07
"573","ENDS Waste & Bioenergy","Haymarket Media Group",2022-11-07
"574","endseurope.com","Haymarket Media Group",2022-11-07
"575","endsreport.com","Haymarket Media Group",2022-11-07
"576","endswasteandbioenergy.com","Haymarket Media Group",2022-11-07
"577","energyvoice.com","DC Thomson Group",2022-11-07
"578","Enfield Independent","Newsquest Media Group",2022-11-07
"579","enfieldindependent.co.uk ","Newsquest Media Group",2022-11-07
"580","English Heritage: Kids Rule","Immediate Media Company Limited",2022-11-07
"581","English Heritage: the English Heritage Members' Magazine","Immediate Media Company Limited",2022-11-07
"582","ENT & Audiology News","Pinpoint Scotland Ltd",2022-11-07
"583","entandaudiologynews.com","Pinpoint Scotland Ltd",2022-11-07
"584","Epping Forest Guardian","Newsquest Media Group",2022-11-07
"585","eppingforestguardian.co.uk","Newsquest Media Group",2022-11-07
"586","Esquire","The National Magazine Company Ltd/Hearst UK",2022-11-07
"587","EssentialARB","Newsquest Media Group",2022-11-07
"588","Essex Chronicle","Reach PLC",2022-11-07
"589","Essex County Standard","Newsquest Media Group",2022-11-07
"590","Essex Life","Newsquest Media Group",2022-11-07
"591","Essex Living","Newsquest Media Group",2022-11-07
"592","essexlive.news","Reach PLC",2022-11-07
"593","Etc Magazine","National World Publishing Ltd ",2022-11-07
"594","Etc Magazine","National World Publishing Ltd",2022-11-07
"595","Etc Magazine","National World Publishing Ltd",2022-11-07
"596","Etc Magazine","National World Publishing Ltd",2022-11-07
"597","Etc Magazine","National World Publishing Ltd",2022-11-07
"598","Etc Magazine","National World Publishing Ltd",2022-11-07
"599","Etc Magazine","National World Publishing Ltd",2022-11-07
"600","Evening Express","DC Thomson Group",2022-11-07
"601","Evening Telegraph","DC Thomson Group ",2022-11-07
"602","eveningexpress.co.uk","DC Thomson Group",2022-11-07
"603","eveningnews24.co.uk","Newsquest Media Group",2022-11-07
"604","eveningtelegraph.co.uk","DC Thomson Group",2022-11-07
"605","Evergreen","DC Thomson Group",2022-11-07
"606","Everybody Loves Jersey/Jersey Loves Food","Guiton Publishing",2022-11-07
"607","Evesham Journal","Newsquest Media Group",2022-11-07
"608","eveshamjournal.co.uk","Newsquest Media Group",2022-11-07
"609","EVolution","Landor LINKS Ltd",2022-11-07
"610","examiner.co.uk","Reach PLC",2022-11-07
"611","examinerlive.co.uk","Reach PLC",2022-11-07
"612","Executive Magazine","Highland News & Media Limited",2022-11-07
"613","Exeter Express & Echo","Reach PLC",2022-11-07
"614","Exmouth Journal","Newsquest Media Group",2022-11-07
"615","exmouth.nub.news","Nub News Ltd",2022-11-07
"616","exmouthjournal.co.uk","Newsquest Media Group",2022-11-07
"617","Express & Star","MNA",2022-11-07
"618","Express & Star","MNA",2022-11-07
"619","express.co.uk","Reach PLC",2022-11-07
"620","expressandstar.com","MNA",2022-11-07
"621","Eye News","Pinpoint Scotland Ltd",2022-11-07
"622","eyenews.uk.com","Pinpoint Scotland Ltd",2022-11-07
"623","Fabulous","News UK",2022-11-07
"624","Fakenham & Wells Times","Newsquest Media Group",2022-11-07
"625","fakenhamtimes.co.uk","Newsquest Media Group",2022-11-07
"626","Falkirk Herald","National World Publishing Ltd",2022-11-07
"627","falkirkherald.co.uk","National World Publishing Ltd",2022-11-07
"628","falmouth.nub.news","Nub News Ltd",2022-11-07
"629","falmouthpacket.co.uk","Newsquest Media Group",2022-11-07
"630","Farm Week","The Irish News",2022-11-07
"631","Farming Life","National World Publishing Ltd",2022-11-07
"632","farminglife.com","National World Publishing Ltd",2022-11-07
"633","Farnham Herald","Tindle Newspapers Limited",2022-11-07
"634","farnhamherald.com","Tindle Newspapers Limited",2022-11-07
"635","fashion.hellomagazine.com","Hello Limited",2022-11-07
"636","Fate & Fortune","H. Bauer Publishing",2022-11-07
"637","fateandfortunemagazine.co.uk","H. Bauer Publishing",2022-11-07
"638","Faversham News","Iliffe Media Group Ltd",2022-11-07
"639","felixstowe.nub.news","Nub News Ltd",2022-11-07
"640","Fenland Citizen","Iliffe Media Group Ltd",2022-11-07
"641","fenlandcitizen.co.uk","Iliffe Media Group Ltd",2022-11-07
"642","Fife & Kinross Extra","Newsquest Media Group",2022-11-07
"643","Fife Free Press","National World Publishing Ltd",2022-11-07
"644","Fife Herald","National World Publishing Ltd",2022-11-07
"645","fifetoday.co.uk","National World Publishing Ltd",2022-11-07
"646","Filey & Hunmanby Mercury","National World Publishing Ltd",2022-11-07
"647","Fish Almanac","Wyvex Media Limited",2022-11-07
"648","Fish Farmer","Wyvex Media Limited",2022-11-07
"649","fishfarmermagazine.com","Wyvex Media Limited",2022-11-07
"650","fitandwell.com","Future PLC",2022-11-07
"651","Flashback","Reach PLC",2022-11-07
"652","Fleet News","Bauer Consumer Media Limited",2022-11-07
"653","fleetnews.co.uk","Bauer Consumer Media Limited",2022-11-07
"654","Fleetwood Weekly News","National World Publishing Ltd",2022-11-07
"655","fleetwoodtoday.co.uk","National World Publishing Ltd",2022-11-07
"656","Focus Magazine","Iliffe Media Group Ltd",2022-11-07
"657","Folkestone and Hythe Express","Iliffe Media Group Ltd",2022-11-07
"658","Folkestone Herald","Reach PLC",2022-11-07
"659","football.london","Reach PLC",2022-11-07
"660","footballscotland.co.uk","Reach PLC",2022-11-07
"661","Forestry Journal","Newsquest Media Group",2022-11-07
"662","forestryjournal.co.uk","Newsquest Media Group",2022-11-07
"663","Forfar Dispatch","National World Publishing Ltd",2022-11-07
"664","forfardispatch.co.uk","National World Publishing Ltd",2022-11-07
"665","Forres Gazette","Highland News & Media Limited",2022-11-07
"666","forres-gazette.co.uk","Highland News & Media Limited",2022-11-07
"667","FourFourTwo","Future PLC",2022-11-07
"668","FourFourTwo.com","Future PLC",2022-11-07
"669","Fraserburgh Herald","National World Publishing Ltd",2022-11-07
"670","fraserburghherald.co.uk","National World Publishing Ltd",2022-11-07
"671","freepressseries.co.uk","Newsquest Media Group",2022-11-07
"672","Frome Standard","Reach PLC",2022-11-07
"673","frome.nub.news","Nub News Ltd",2022-11-07
"674","Fulham Gazette","Reach PLC",2022-11-07
"675","Future Music","Future PLC",2022-11-07
"676","Gainsborough Echo","Reach PLC",2022-11-07
"677","Gainsborough News","National World Publishing Ltd",2022-11-07
"678","Gainsborough Standard","National World Publishing Ltd",2022-11-07
"679","gainsboroughstandard.co.uk","National World Publishing Ltd",2022-11-07
"680","Galloway Gazette","National World Publishing Ltd",2022-11-07
"681","Galloway News","Reach PLC",2022-11-07
"682","gallowaygazette.co.uk","National World Publishing Ltd",2022-11-07
"683","gamesradar.com","Future PLC",2022-11-07
"684","Garden Answers","H. Bauer Publishing",2022-11-07
"685","Garden News","H. Bauer Publishing",2022-11-07
"686","gardeningetc.com","Future PLC",2022-11-07
"687","gardennewsmagazine.co.uk","H. Bauer Publishing",2022-11-07
"688","Gardens Illustrated","Immediate Media Company Limited",2022-11-07
"689","Garstang Courier","National World Publishing Ltd",2022-11-07
"690","garstangcourier.co.uk","National World Publishing Ltd",2022-11-07
"691","gathered.how","Immediate Media Company Limited",2022-11-07
"692","Gazette & Herald","Newsquest Media Group",2022-11-07
"693","Gazette Series","Newsquest Media Group",2022-11-07
"694","gazetteandherald.co.uk","Newsquest Media Group",2022-11-07
"695","gazetteherald.co.uk","Newsquest Media Group",2022-11-07
"696","gazettelive.co.uk","Reach PLC",2022-11-07
"697","gazette-news.co.uk","Newsquest Media Group",2022-11-07
"698","gazetteseries.co.uk","Newsquest Media Group",2022-11-07
"699","Get Into Craft","Immediate Media Company Limited",2022-11-07
"700","getreading.co.uk","Reach PLC",2022-11-07
"701","getsurrey.co.uk","Reach PLC",2022-11-07
"702","Giggly","Immediate Media Company Ltd",2022-11-07
"703","gi-media.co.uk","Gi Media",2022-11-07
"704","gin","Paragraph Publishing Ltd",2022-11-07
"705","Gin Live","Paragraph Publishing Ltd",2022-11-07
"706","gin-live.com","Paragraph Publishing Ltd",2022-11-07
"707","gin-mag.com","Paragraph Publishing Ltd",2022-11-07
"708","Girl Talk","Immediate Media Company Limited",2022-11-07
"709","Girl Talk Art","Immediate Media Company Limited",2022-11-07
"710","Glamorgan Gazette","Reach PLC",2022-11-07
"711","Glamorgan Star","Glamorgan Star Ltd",2022-11-07
"712","glamorganstar.co.uk","Glamorgan Star Ltd",2022-11-07
"713","Glamour","Condé Nast Publications Ltd",2022-11-07
"714","Glasgow Times","Newsquest Media Group",2022-11-07
"715","glasgowlive.co.uk","Reach PLC",2022-11-07
"716","glasgowsouthandeastwoodextra.co.uk","National World Publishing Ltd",2022-11-07
"717","glasgowtimes.co.uk","Newsquest Media Group",2022-11-07
"718","glasgowworld.com","National World Publishing Ltd",2022-11-07
"719","glastonbury.nub.news","Nub News Ltd",2022-11-07
"720","Glenrothes Gazette","National World Publishing Ltd",2022-11-07
"721","Global Franchise","DC Thomson Group",2022-11-07
"722","Glossop Chronicle","Quest Media Network",2022-11-07
"723","Gloucester Citizen","Reach PLC",2022-11-07
"724","Gloucestershire Echo","Reach PLC",2022-11-07
"725","gloucestershirelive.co.uk","Reach PLC",2022-11-07
"726","Golf Monthly","Future PLC",2022-11-07
"727","golf-monthly.co.uk","Future PLC",2022-11-07
"728","Good Housekeeping","The National Magazine Company Ltd/Hearst UK",2022-11-07
"729","Government Business","Psi Group Ltd",2022-11-07
"730","GP","Haymarket Media Group",2022-11-07
"731","GP Business","Haymarket Media Group",2022-11-07
"732","gponline.com","Haymarket Media Group",2022-11-07
"733","GQ","Condé Nast Publications Ltd",2022-11-07
"734","GQ Style","Condé Nast Publications Ltd",2022-11-07
"735","grampianonline.co.uk","Highland News & Media Limited",2022-11-07
"736","Grantham Journal","Iliffe Media Group Ltd",2022-11-07
"737","granthamjournal.co.uk","Iliffe Media Group Ltd",2022-11-07
"738","Gravesend & Dartford Messenger","Iliffe Media Group Ltd",2022-11-07
"739","Grazia","H. Bauer Publishing",2022-11-07
"740","graziadaily.co.uk","H. Bauer Publishing",2022-11-07
"741","Great British Food","DC Thomson Group",2022-11-07
"742","Great Yarmouth Mercury","Newsquest Media Group",2022-11-07
"743","greatbritishlife.co.uk","Newsquest Media Group",2022-11-07
"744","Greater Manchester Business Week Magazine","Reach PLC",2022-11-07
"745","greatyarmouthmercury.co.uk","Newsquest Media Group",2022-11-07
"746","greatyarmouthmercury.co.uk","Newsquest Media Group",2022-11-07
"747","Green Living Made Easy","Future PLC",2022-11-07
"748","GreenFleet","Psi Group Ltd",2022-11-07
"749","Greenock Telegraph","Newsquest Media Group",2022-11-07
"750","greenocktelegraph.co.uk","Newsquest Media Group",2022-11-07
"751","Greenwich & Lewisham Weekender","Southwark News Limited",2022-11-07
"752","Grimsby Live","Reach PLC",2022-11-07
"753","Grimsby Telegraph","Reach PLC",2022-11-07
"754","Grow Your Own","DC Thomson Group",2022-11-07
"755","guardian-series.co.uk","Newsquest Media Group",2022-11-07
"756","guernseypress.com","Guernsey Press Company",2022-11-07
"757","Guide to Building Your Own Home","Future PLC",2022-11-07
"758","Guide to Extending Your Own Home","Future PLC",2022-11-07
"759","guideandgazette.co.uk","National World Publishing Ltd",2022-11-07
"760","Guitar Techniques","Future PLC",2022-11-07
"761","Guitarist","Future PLC",2022-11-07
"762","Guitarist Presents Accoustic","Future PLC",2022-11-07
"763","Gun Trade News","Future PLC",2022-11-07
"764","Gwendraeth Valley Star","Reach PLC",2022-11-07
"765","Gwent Gazette","Reach PLC",2022-11-07
"766","GYOne","Guernsey Press Company",2022-11-07
"767","Hackney Citizen","Citizen News & Media Limited",2022-11-07
"768","Hackney Gazette","Newsquest Media Group",2022-11-07
"769","hackneycitizen.co.uk","Citizen News & Media Limited",2022-11-07
"770","hackneygazette.co.uk","Newsquest Media Group",2022-11-07
"771","hadleigh.nub.news","Nub News Ltd",2022-11-07
"772","Halesowen News","Newsquest Media Group",2022-11-07
"773","halesowennews.co.uk","Newsquest Media Group",2022-11-07
"774","Halifax Courier","National World Publishing Ltd",2022-11-07
"775","halifaxcourier.co.uk","National World Publishing Ltd",2022-11-07
"776","Halstead Gazette","Newsquest Media Group",2022-11-07
"777","halsteadgazette.co.uk","Newsquest Media Group",2022-11-07
"778","Ham and High Broadway","Newsquest Media Group",2022-11-07
"779","Ham and High Express","Newsquest Media Group",2022-11-07
"780","hamhigh.co.uk","Newsquest Media Group",2022-11-07
"781","Hamilton Advertiser","Reach PLC",2022-11-07
"782","Hampshire Business Magazine","Newsquest Media Group",2022-11-07
"783","Hampshire Chronicle","Newsquest Media Group",2022-11-07
"784","Hampshire Life","Newsquest Media Group",2022-11-07
"785","Hampshire Living","Newsquest Media Group",2022-11-07
"786","hampshirechronicle.co.uk","Newsquest Media Group",2022-11-07
"787","hampshirelive.news","Reach PLC",2022-11-07
"788","Harborough Mail","National World Publishing Ltd",2022-11-07
"789","harboroughmail.co.uk","National World Publishing Ltd",2022-11-07
"790","Harlow Guardian","Newsquest Media Group",2022-11-07
"791","Harpenden Review","Newsquest Media Group",2022-11-07
"792","Harpers Bazaar","The National Magazine Company Ltd/Hearst UK",2022-11-07
"793","Harrogate Advertiser","National World Publishing Ltd",2022-11-07
"794","harrogateadvertiser.co.uk","National World Publishing Ltd",2022-11-07
"795","Harrow Times","Newsquest Media Group",2022-11-07
"796","harrowtimes.co.uk","Newsquest Media Group",2022-11-07
"797","Hartlepool Mail","National World Publishing Ltd",2022-11-07
"798","hartlepoolmail.co.uk","National World Publishing Ltd",2022-11-07
"799","Harwich & Manningtree Standard","Newsquest Media Group",2022-11-07
"800","harwichandmanningtreestandard.co.uk","Newsquest Media Group",2022-11-07
"801","Haslemere Herald","Tindle Newspapers Limited",2022-11-07
"802","haslemereherald.com","Tindle Newspapers Limited",2022-11-07
"803","Hastings and Rye Observer","National World Publishing Ltd",2022-11-07
"804","Hatchimals","Immediate Media Company Limited",2022-11-07
"805","Haverhill Echo","Iliffe Media Group Ltd",2022-11-07
"806","Hawick News","National World Publishing Ltd",2022-11-07
"807","hawick-news.co.uk","National World Publishing Ltd",2022-11-07
"808","Head Teacher","DC Thomson Group",2022-11-07
"809","Health & Wellbeing","DC Thomson Group",2022-11-07
"810","Health Business","Psi Group Ltd",2022-11-07
"811","Heat","H. Bauer Publishing",2022-11-07
"812","heatworld.com","H. Bauer Publishing",2022-11-07
"813","Hebden Bridge Times","National World Publishing Ltd",2022-11-07
"814","hebdenbridgetimes.co.uk","National World Publishing Ltd",2022-11-07
"815","Helensburgh Advertiser","Newsquest Media Group",2022-11-07
"816","helensburghadvertiser.co.uk","Newsquest Media Group",2022-11-07
"817","Hello!","Hello Limited",2022-11-07
"818","Hello! Fashion Monthly","Hello Limited",2022-11-07
"819","hellomagazine.com","Hello Limited",2022-11-07
"820","helston.nub.news","Nub News Ltd",2022-11-07
"821","Hemel Hempstead Gazette & Express","National World Publishing Ltd",2022-11-07
"822","Hemel Hempstead Gazette","National World Publishing Ltd",2022-11-07
"823","hemeltoday.co.uk","National World Publishing Ltd",2022-11-07
"824","Hemsworth & South Elmsall Express","National World Publishing Ltd",2022-11-07
"825","hemsworthandsouthelmsallexpress.co.uk","National World Publishing Ltd",2022-11-07
"826","Hendon & Finchley Times","Newsquest Media Group",2022-11-07
"827","Herald Express","Reach PLC",2022-11-07
"828","herald.wales","UK Ltd",2022-11-07
"829","heraldscotland.com","Newsquest Media Group",2022-11-07
"830","heraldseries.co.uk","Newsquest Media Group",2022-11-07
"831","Hereford Times","Newsquest Media Group",2022-11-07
"832","Herefordshire Living","Newsquest Media Group",2022-11-07
"833","herefordtimes.com","Newsquest Media Group",2022-11-07
"834","Hertfordshire Life","Newsquest Media Group",2022-11-07
"835","Hertfordshire Living","Newsquest Media Group",2022-11-07
"836","Hertfordshire Mercury","Reach PLC",2022-11-07
"837","hertfordshiremercury.co.uk","Reach PLC",2022-11-07
"838","Herts Advertiser","Newsquest Media Group",2022-11-07
"839","hertsad.co.uk","Newsquest Media Group",2022-11-07
"840","heswall.nub.news","Nub News Ltd",2022-11-07
"841","Hexham Courant","Newsquest Media Group",2022-11-07
"842","hexham-courant.co.uk","Newsquest Media Group",2022-11-07
"843","Hey Duggee","Immediate Media Company Ltd",2022-11-07
"844","Heywood Advertiser","Reach PLC",2022-11-07
"845","High Life","Cedar Communications Ltd",2022-11-07
"846","High Life Digital","Cedar Communications Ltd",2022-11-07
"847","Highland News","Highland News & Media Limited",2022-11-07
"848","hillingdonherald.co.uk","Brunel University",2022-11-07
"849","hillingdontimes.co.uk","Newsquest Media Group",2022-11-07
"850","Hinckley Times","Reach PLC",2022-11-07
"851","History of War","Future PLC",2022-11-07
"852","historyanswers.co.uk","Future PLC",2022-11-07
"853","hitchin.nub.news","Nub News Ltd",2022-11-07
"854","holdthefrontpage.co.uk","holdthefrontpage.co.uk",2022-11-07
"855","Holiday West Highland","Wyvex Media Limited",2022-11-07
"856","Holme Valley Review","Barnsley Chronicle Limited",2022-11-07
"857","Holsworthy Post","Tindle Newspapers Limited",2022-11-07
"858","holsworthy-today.co.uk","Tindle Newspapers Limited",2022-11-07
"859","Holyhead & Bangor Mail","Reach PLC",2022-11-07
"860","Home 360","Guiton Publishing",2022-11-07
"861","Home Building & Renovating","Future PLC",2022-11-07
"862","homebuilding.co.uk","Future PLC",2022-11-07
"863","HomeLife","Guiton Publishing",2022-11-07
"864","Homes & Antiques","Immediate Media Company Limited",2022-11-07
"865","Homes & Gardens","Future PLC",2022-11-07
"866","homesandgardens.com","Future PLC",2022-11-07
"867","Homestyle","Immediate Media Company Limited",2022-11-07
"868","honiton.nub.news","Nub News Ltd",2022-11-07
"869","Horncastle News","National World Publishing Ltd",2022-11-07
"870","horncastlenews.co.uk","National World Publishing Ltd",2022-11-07
"871","Horse & Hound","Future PLC",2022-11-07
"872","horseandhound.co.uk","Future PLC",2022-11-07
"873","Horticulture Week","Haymarket Media Group",2022-11-07
"874","hortnews.com","ACT Publishing Ltd",2022-11-07
"875","hortweek.com","Haymarket Media Group",2022-11-07
"876","Hounslow Chronicle & Informer","Reach PLC",2022-11-07
"877","House & Garden","Condé Nast Publications Ltd",2022-11-07
"878","House Beautiful","The National Magazine Company Ltd/Hearst UK",2022-11-07
"879","Housebuilder","Housebuilder Media",2022-11-07
"880","How It Works","Future PLC",2022-11-07
"881","howitworksdaily.com","Future PLC",2022-11-07
"882","Hucknall Dispatch","National World Publishing Ltd",2022-11-07
"883","hucknall.nub.news","Nub News Ltd",2022-11-07
"884","hucknalldispatch.co.uk","National World Publishing Ltd",2022-11-07
"885","Huddersfield Daily Examiner","Reach PLC",2022-11-07
"886","Hull Daily Mail","Reach PLC",2022-11-07
"887","Hull Live","Reach PLC",2022-11-07
"888","humberbusiness.com","Reach PLC",2022-11-07
"889","Huntly Express","Highland News & Media Limited",2022-11-07
"890","Hunts Post","Newsquest Media Group",2022-11-07
"891","huntspost.co.uk","Newsquest Media Group",2022-11-07
"892","i","Associated Newspapers Limited",2022-11-07
"893","I Am New Generation Magazine","I Am New Generation Limited",2022-11-07
"894","iAM Roadsmart","Immediate Media Company Limited",2022-11-07
"895","iamnewgeneration.co.uk","I Am New Generation Limited",2022-11-07
"896","IB Plus","Cedar Communications Ltd",2022-11-07
"897","Icons of Drinks","Paragraph Publishing Ltd",2022-11-07
"898","iconsofdrinks.com","Paragraph Publishing Ltd",2022-11-07
"899","iCreate","Future PLC",2022-11-07
"900","Ideal Home","Future PLC",2022-11-07
"901","Ilford Recorder","Newsquest Media Group",2022-11-07
"902","ilfordrecorder.co.uk","Newsquest Media Group",2022-11-07
"903","Ilkeston Advertiser","National World Publishing Ltd",2022-11-07
"904","ilkestonadvertiser.co.uk","National World Publishing Ltd",2022-11-07
"905","Ilkley Gazette","Newsquest Media Group",2022-11-07
"906","ilkleygazette.co.uk","Newsquest Media Group",2022-11-07
"907","Imagine FX","Future PLC",2022-11-07
"908","impartialreporter.com","Newsquest Media Group",2022-11-07
"909","Improve Your Coarse Fishing","H. Bauer Publishing",2022-11-07
"910","In-Cumbria Business Magazine","Newsquest Media Group",2022-11-07
"911","in-cumbria.com","Newsquest Media Group",2022-11-07
"912","inews.co.uk","Associated Newspapers Limited",2022-11-07
"913","Inside Soap","The National Magazine Company Ltd/Hearst UK",2022-11-07
"914","insider.co.uk","Reach PLC",2022-11-07
"915","installation-international.com","Future PLC",2022-11-07
"916","Inverness Courier","Highland News & Media Limited",2022-11-07
"917","inverness-courier.co.uk","Highland News & Media Limited",2022-11-07
"918","Inverurie Advertiser","Highland News & Media Limited",2022-11-07
"919","Inverurie Herald","National World Publishing Ltd",2022-11-07
"920","inverurieherald.co.uk","National World Publishing Ltd",2022-11-07
"921","inyourarea.co.uk","Reach PLC",2022-11-07
"922","iomtoday.co.uk","Tindle Newspapers Limited",2022-11-07
"923","Ipswich Star","Newsquest Media Group",2022-11-07
"924","ipswichstar.co.uk","Newsquest Media Group",2022-11-07
"925","IQ","Iliffe Media Group Ltd",2022-11-07
"926","Irvine Herald","Reach PLC",2022-11-07
"927","Irvine Times","Newsquest Media Group",2022-11-07
"928","irvinetimes.com","Newsquest Media Group",2022-11-07
"929","Isle of Bute News","Argyll Media",2022-11-07
"930","Isle of Man Courier","Tindle Newspapers Limited",2022-11-07
"931","Isle of Man Examiner","Tindle Newspapes Limited",2022-11-07
